2004-03-01	3009 
2004-04-01	2949 
2004-05-01	2734 
2004-06-01	2687 
2004-07-01	2808 
2004-08-01	2846 
2004-09-01	2895 
2004-10-01	3012 
2004-11-01	3123 
2004-12-01	3145 
2005-01-01	3170 
2005-02-01	3254 
2005-03-01	3380 
2005-04-01	3395 
2005-05-01	3249 
2005-06-01	3524 
2005-07-01	3614 
2005-08-01	3798 
2005-09-01	3855 
2005-10-01	4060 
2005-11-01	4269 
2005-12-01	4577 
2006-01-01	4734 
2006-02-01	4982 
2006-03-01	5103 
2006-04-01	6388 
2006-05-01	8046 
2006-06-01	7198 
2006-07-01	7712 
2006-08-01	7696 
2006-09-01	7602 
2006-10-01	7500 
2006-11-01	7029 
2006-12-01	6675 
2007-01-01	5670 
2007-02-01	5676 
2007-03-01	6452 
2007-04-01	7766 
2007-05-01	7682 
2007-06-01	7476 
2007-07-01	7974 
2007-08-01	7514 
2007-09-01	7649 
2007-10-01	8008 
2007-11-01	6967 
2007-12-01	6588 
2008-01-01	7061 
2008-02-01	7888 
2008-03-01	8439 
2008-04-01	8685 
2008-05-01	8383 
2008-06-01	8261 
2008-07-01	8414 
2008-08-01	7635 
2008-09-01	6991 
2008-10-01	4926 
2008-11-01	3717 
2008-12-01	3072 
2009-01-01	3221 
2009-02-01	3315 
2009-03-01	3750 
2009-04-01	4407 
2009-05-01	4569 
2009-06-01	5014 
2009-07-01	1668 
2009-08-01	6165 
2009-09-01	6196 
2009-10-01	6288 
2009-11-01	6676 
2009-12-01	6982 
2010-01-01	7386 
2010-02-01	6848 
2010-03-01	7463 
2010-04-01	7745 
2010-05-01	6838 
2010-06-01	6499 
2010-07-01	6735 
2010-08-01	7284 
2010-09-01	7709 
2010-10-01	8292 
2010-11-01	8470 
2010-12-01	9147 
2011-01-01	9556 
2011-02-01	9868 
2011-03-01	9531 
2011-04-01	9483 
2011-05-01	8927 
2011-06-01	9045 
2011-07-01	9650 
2011-08-01	8977 
2011-09-01	8254 
2011-10-01	7394 
2011-11-01	7581 
2011-12-01	7568 
2012-01-01	8043 
2012-02-01	8423 
2012-03-01	8457 
2012-04-01	8260 
2012-05-01	7920 
2012-06-01	7417 
2012-07-01	7589 
2012-08-01	7492 
2012-09-01	8068 
2012-10-01	8070 
2012-11-01	7694 
2012-12-01	7963 
2013-01-01	8049 
2013-02-01	8070 
2013-03-01	7661 
2013-04-01	7225 
2013-05-01	7217 
2013-06-01	7004 
2013-07-01	6893 
2013-08-01	7182 
2013-09-01	7161 
2013-10-01	7189 
2013-11-01	7066 
2013-12-01	7203 
2014-01-01	7295 
2014-02-01	7152 
2014-03-01	6668 
2014-04-01	6671 
2014-05-01	6884 
2014-06-01	6807 
2014-07-01	7105 
2014-08-01	7001 
2014-09-01	6650 
2014-10-01	6739 
2014-11-01	6701 
2014-12-01	6403 
2015-01-01	5816 
2015-02-01	5702 
2015-03-01	5926 
2015-04-01	6029 
2015-05-01	6301 
2015-06-01	5834 
2015-07-01	5457 
2015-08-01	5089 
2015-09-01	5208 
2015-10-01	5223 
2015-11-01	4808 
2015-12-01	4629 
2016-01-01	4463 
2016-02-01	4595 
2016-03-01	4948 
2016-04-01	4851 
2016-05-01	4708 
2016-06-01	4631 
2016-07-01	4856 
2016-08-01	4758 
1905-07-08	4707 
